name,country,avgTenure,avgAge,percentWomen,cap,industry,industryTenure,industryAge,industryWomen,globalTenure,globalAge,globalWomen,countryTenure,countryAge,countryWomen
Reliance Communications Ltd.,India,6.3,63.5,16.7,1.9112,Telecommunication Services,6,57.92,19,7.4,60,17,8.233502538,61.66497462,12
"BioTelemetry, Inc.",US,6.2,63.5,16.7,0.4876,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Canexus Corporation,Canada,6,63.5,12.5,0.1926,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
EDP - Energias Do Brasil SA,Brazil,5.6,63.5,0,2.6847,Utilities,6.4,59.97,21,7.4,60,17,4.684322034,58.40042373,6
Delphi Automotive PLC,US,5.1,63.5,7.7,18.3086,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Lotte Shopping Co.,South Korea,5.1,63.5,27.3,5.5797,Consumer Discretionary,7.57,59.12,20,7.4,60,17,3.488721805,57.96491228,2
Duluxgroup Ltd,Australia,4.9,63.5,28.6,1.9452,Materials,6.88,60.08,16,7.4,60,17,5.81913775,59.75394322,24
CONSOL Energy Inc.,US,4.2,63.5,9.1,3.9428,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Kloeckner & Co SE,Germany,4,63.5,0,1.2561,Industrials,7.44,60.22,17,7.4,60,17,6.03255814,57.39255814,24
MTR Corporation Ltd,Hong Kong,3.6,63.5,21.1,32.0183,Industrials,7.44,60.22,17,7.4,60,17,9.783838384,61.74949495,13
Australian Agricultural Company Ltd.,Australia,3.6,63.5,0,0.782,Consumer Staples,7.41,59.11,21,7.4,60,17,5.81913775,59.75394322,24
Echelon Financial Holdings Inc.,Canada,3.2,63.5,22.2,0.1107,Financials,7.92,60.71,18,7.4,60,17,7.662806089,60.97683653,17
"Sun Communities, Inc.",US,16.6,63.4,14.3,5.1815,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Littelfuse, Inc.",US,14.3,63.4,0,2.7002,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
"Lydall, Inc.",US,13.3,63.4,25,0.7697,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Liberty Property Trust,US,13.2,63.4,22.2,5.9149,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
ResMed Inc.,US,13,63.4,12.5,9.0986,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Hospitality Properties Trust,US,12.2,63.4,20,4.7328,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Vera Bradley, Inc.",US,12.2,63.4,36.4,0.5406,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
OceanFirst Financial Corp.,US,11.6,63.4,10,0.4828,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Intercontinental Exchange, Inc.",US,11.5,63.4,12.5,31.3151,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Terex Corporation,US,11.2,63.4,10,2.3675,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Post Properties, Inc.",US,11,63.4,12.5,3.3199,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"TTM Technologies, Inc.",US,10.8,63.4,0,0.8133,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Newell Brands Inc.,US,10.6,63.4,0,22.2396,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Libbey Inc.,US,9.9,63.4,50,0.3675,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"Bank of the Ozarks, Inc.",US,9.4,63.4,20,3.6434,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
RESOURCE CAPITAL CORP.,US,8.8,63.4,10,0.4043,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Subsea 7 S.A.,Luxembourg,8.6,63.4,0,3.4045,Energy,7,60.92,12,7.4,60,17,6.711538462,57.51923077,14
Chemical Financial Corporation,US,7.9,63.4,0,1.503,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Bolsas y Mercados Espanoles S.A.,Spain,7.5,63.4,16.7,2.382,Financials,7.92,60.71,18,7.4,60,17,7.459330144,60.57655502,18
TELUS Corporation,Canada,6.7,63.4,25,19.6034,Telecommunication Services,6,57.92,19,7.4,60,17,7.662806089,60.97683653,17
Nabors Industries Ltd.,US,6.7,63.4,0,2.7373,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Rite Aid Corporation,US,6.1,63.4,22.2,7.542,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
Triple-S Management Corporation,US,5.6,63.4,11.1,0.657,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"CalAtlantic Group, Inc.",US,5.1,63.4,10,4.6565,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"KBR, Inc.",US,5,63.4,10,2.0751,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Houghton Mifflin Harcourt Company,US,4.9,63.4,28.6,2.0782,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
State Bank Financial Corporation,US,4.8,63.4,20,0.8282,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
ING Groep NV,Netherlands,3.6,63.4,37.5,41.9711,Financials,7.92,60.71,18,7.4,60,17,4.58839779,59.22928177,25
Physicians Realty Trust,US,3,63.4,0,2.8074,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Global Blood Therapeutics, Inc.",US,1.3,63.4,0,0.5937,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Motor Oil (Hellas) Corinth Refineries SA,Greece,0,63.4,9.1,1.1756,Energy,7,60.92,12,7.4,60,17,5.540540541,57.63513514,15
"Omega Flex, Inc.",US,14.1,63.3,0,0.36,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Logistec Corporation,Canada,13.9,63.3,27.3,0.3816,Industrials,7.44,60.22,17,7.4,60,17,7.662806089,60.97683653,17
"Knoll, Inc.",US,13.8,63.3,30,1.2427,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Boyd Gaming Corporation,US,13.5,63.3,27.3,2.1498,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"ICU Medical, Inc.",US,13.4,63.3,14.3,1.813,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"United Community Banks, Inc.",US,12.9,63.3,12.5,1.4559,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Atwood Oceanics, Inc.",US,12.4,63.3,12.5,0.7724,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Panhandle Oil and Gas Inc.,US,12.3,63.3,14.3,0.2797,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Campbell Soup Company,US,11.2,63.3,33.3,20.5621,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
"PerkinElmer, Inc.",US,11,63.3,25,6.0381,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"ARC Document Solutions, Inc.",US,10.6,63.3,0,0.1929,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
R. R. Donnelley & Sons Company,US,9.3,63.3,30,3.7462,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
F.N.B. Corporation,US,9.3,63.3,13.3,2.8009,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Corporate Office Properties Trust,US,9.1,63.3,12.5,2.7666,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
WEX Inc.,US,9,63.3,20,3.642,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Eastman Chemical Company,US,8.7,63.3,16.7,10.6067,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Cognizant Technology Solutions Corporation,US,8.6,63.3,9.1,34.9951,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
"First Solar, Inc.",US,8.4,63.3,9.1,4.8802,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
The Dow Chemical Company,US,8.2,63.3,15.4,58.6091,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
SpartanNash Company,US,8.2,63.3,30,1.1556,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
"Texas Capital Bancshares, Inc.",US,7.9,63.3,16.7,2.3003,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Oil Search Ltd.,Australia,7.8,63.3,11.1,8.0613,Energy,7,60.92,12,7.4,60,17,5.81913775,59.75394322,24
Mota-Engil SGPS S.A.,Portugal,7.8,63.3,17.6,0.4423,Industrials,7.44,60.22,17,7.4,60,17,5.763975155,55.11180124,13
Entravision Communications Corporation,US,7.5,63.3,33.3,0.649,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"Craft Brew Alliance, Inc.",US,7.4,63.3,0,0.2322,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
"Brocade Communications Systems, Inc.",US,7.3,63.3,20,4.2478,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
"Delek US Holdings, Inc.",US,7.3,63.3,0,0.7639,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Pfizer Inc.,US,7.1,63.3,27.3,223.0045,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"TETRA Technologies, Inc.",US,7,63.3,0,0.5768,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
"MidWest One Financial Group, Inc.",US,6.9,63.3,16.7,0.3428,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"MetLife, Inc.",US,6.8,63.3,33.3,46.8142,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Spirent Communications plc,UK,6.8,63.3,16.7,0.603,Information Technology,7.58,59.27,15,7.4,60,17,5.650285094,57.00678794,20
"Casey's General Stores, Inc.",US,6.7,63.3,22.2,5.0958,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
Temenos Group AG,Switzerland,6.7,63.3,14.3,3.5728,Information Technology,7.58,59.27,15,7.4,60,17,6.63956044,58.88351648,18
Regional Management Corp.,US,6.6,63.3,0,0.1986,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Intrexon Corporation,US,6.1,63.3,0,2.901,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
AGL Energy Ltd.,Australia,5.9,63.3,25,10.2278,Utilities,6.4,59.97,21,7.4,60,17,5.81913775,59.75394322,24
Morneau Shepell Inc.,Canada,5.9,63.3,33.3,0.7393,Industrials,7.44,60.22,17,7.4,60,17,7.662806089,60.97683653,17
XBiotech Inc.,US,5.8,63.3,0,0.4836,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Aircastle Limited,US,5.6,63.3,8.3,1.7315,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
MBIA Inc.,US,5.4,63.3,25,1.0598,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Harsco Corporation,US,5.4,63.3,25,0.789,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Sherritt International Corporation,Canada,4.6,63.3,25,0.2056,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
"Cemig, Companhia Energetica De Minas Gerais",Brazil,2.9,63.3,0,3.2624,Utilities,6.4,59.97,21,7.4,60,17,4.684322034,58.40042373,6
"Care Capital Properties, Inc.",US,1,63.3,14.3,2.316,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
FirstService Corporation,Canada,1,63.3,14.3,1.5464,Financials,7.92,60.71,18,7.4,60,17,7.662806089,60.97683653,17
H&R Real Estate Investment Trust,Canada,16,63.2,0,5.0044,Financials,7.92,60.71,18,7.4,60,17,7.662806089,60.97683653,17
Natus Medical Incorporated,US,15.8,63.2,20,1.3463,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Pioneer Energy Services Corp.,US,13.4,63.2,0,0.2827,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
American National Bankshares Inc.,US,13,63.2,7.1,0.2274,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
RPM International Inc.,US,11.7,63.2,15.4,6.8987,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Cott Corporation,US,10.3,63.2,10,2.0058,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
Garmin Ltd.,US,9.7,63.2,16.7,8.5093,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
HealthSouth Corporation,US,9.7,63.2,30,3.597,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"Home BancShares, Inc.",US,9.5,63.2,0,2.9255,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Halliburton Company,US,8.7,63.2,16.7,39.0622,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
"Hill-Rom Holdings, Inc.",US,7.6,63.2,11.1,3.3005,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"Merck & Co., Inc.",US,7.4,63.2,23.1,165.0573,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Great-West Lifeco Inc.,Canada,7,63.2,20,25.9757,Financials,7.92,60.71,18,7.4,60,17,7.662806089,60.97683653,17
Nestle SA,Switzerland,6.8,63.2,30.8,246.173,Consumer Staples,7.41,59.11,21,7.4,60,17,6.63956044,58.88351648,18
DEA Capital SPA,Italy,6.8,63.2,20,0.3596,Financials,7.92,60.71,18,7.4,60,17,6.869612069,57.98599138,25
Devon Energy Corporation,US,6.4,63.2,22.2,20.064,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
"Clovis Oncology, Inc.",US,6.1,63.2,11.1,0.5524,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Northwest Pipe Company,US,6,63.2,16.7,0.1068,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
International Flavors & Fragrances Inc.,US,5.5,63.2,27.3,10.5302,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
APA Group,Australia,5.4,63.2,25,7.8754,Utilities,6.4,59.97,21,7.4,60,17,5.81913775,59.75394322,24
Clearwater Paper Corporation,US,5.3,63.2,33.3,1.1832,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Global Logistic Properties Limited,Singapore,5.1,63.2,0,6.8217,Financials,7.92,60.71,18,7.4,60,17,7.856410256,62.14871795,11
Reliance Power Ltd.,India,4.7,63.2,16.7,2.1623,Utilities,6.4,59.97,21,7.4,60,17,8.233502538,61.66497462,12
Fairfax Media Ltd.,Australia,4.1,63.2,22.2,1.674,Consumer Discretionary,7.57,59.12,20,7.4,60,17,5.81913775,59.75394322,24
Gam Holding Ltd.,Switzerland,3.3,63.2,16.7,1.645,Financials,7.92,60.71,18,7.4,60,17,6.63956044,58.88351648,18
"Century Communities, Inc.",US,2.8,63.2,0,0.3798,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"Universal Health Services, Inc.",US,19.7,63.1,14.3,13.0396,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"Gartner, Inc.",US,14.1,63.1,22.2,8.1281,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
"Hornbeck Offshore Services, Inc.",US,11.9,63.1,11.1,0.3156,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
A. O. Smith Corporation,US,11.7,63.1,10,7.933,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Capstead Mortgage Corporation,US,10.9,63.1,12.5,0.946,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Tailored Brands, Inc.",US,9.9,63.1,20,0.6733,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"Sun Bancorp, Inc.",US,9.6,63.1,9.1,0.4285,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Reinsurance Group of America, Incorporated",US,9.1,63.1,27.3,6.235,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Canadian Utilities Limited,Canada,8.7,63.1,41.7,8.0403,Utilities,6.4,59.97,21,7.4,60,17,7.662806089,60.97683653,17
Pacific Continental Corporation,US,8.7,63.1,18.2,0.3226,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Applied Optoelectronics, Inc.",US,8.7,63.1,0,0.2008,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Moody's Corporation,US,8.6,63.1,22.2,20.079,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Itron, Inc.",US,8.6,63.1,30,1.6846,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
"PGT, Inc.",US,8.6,63.1,11.1,0.5749,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
NorthWestern Corporation,US,8.4,63.1,28.6,2.9578,Utilities,6.4,59.97,21,7.4,60,17,8.247254471,61.43591152,15
"Senomyx, Inc.",US,8.3,63.1,12.5,0.1106,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Tyco International plc,US,8,63.1,9.1,18.4068,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Shoe Carnival, Inc.",US,7.9,63.1,14.3,0.5228,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Vienna Insurance Group Ag,Austria,7.8,63.1,30,2.4673,Financials,7.92,60.71,18,7.4,60,17,6.085201794,55.92825112,20
"NN, Inc.",US,7.7,63.1,0,0.4223,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
ARC Resources Ltd.,Canada,7.6,63.1,20,6.1502,Energy,7,60.92,12,7.4,60,17,7.662806089,60.97683653,17
The Hershey Company,US,7,63.1,18.2,23.5189,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
Quebecor Inc.,Canada,7,63.1,20,3.6698,Consumer Discretionary,7.57,59.12,20,7.4,60,17,7.662806089,60.97683653,17
"Pinnacle Entertainment, Inc.",US,6.9,63.1,28.6,0.6606,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"WellCare Health Plans, Inc.",US,6.8,63.1,11.1,4.8168,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
ITT Inc.,US,6.2,63.1,30,3.0229,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Lazard Ltd,US,6,63.1,20,4.2524,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
GS Holdings Corp.,South Korea,5.6,63.1,0,4.0852,Energy,7,60.92,12,7.4,60,17,3.488721805,57.96491228,2
"ANI Pharmaceuticals, Inc.",US,4.7,63.1,0,0.6311,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
YRC Worldwide Inc.,US,4.3,63.1,10,0.3439,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"BWX Technologies, Inc.",US,2.6,63.1,12.5,3.7383,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
GRAN TIERRA ENERGY INC.,US,1,63.1,0,0.861,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Zions Bancorporation,US,15.5,63,27.3,5.3223,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"G-III Apparel Group, Ltd.",US,15.1,63,27.3,2.3294,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Schoeller-Bleckmann Oilfield Equipment AG,Austria,13,63,16.7,0.9776,Energy,7,60.92,12,7.4,60,17,6.085201794,55.92825112,20
CCL Industries Inc.,Canada,12.4,63,22.2,5.9992,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
Deluxe Corporation,US,12,63,20,3.3746,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Threshold Pharmaceuticals, Inc.",US,10.7,63,0,0.0387,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Equifax Inc.,US,10.5,63,10,15.9538,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
State Street Corporation,US,9.6,63,27.3,22.5329,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"United Rentals, Inc.",US,9.6,63,18.2,6.2058,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Dongsuh Co.,South Korea,9.5,63,0,2.9588,Consumer Staples,7.41,59.11,21,7.4,60,17,3.488721805,57.96491228,2
Silver Wheaton Corp.,Canada,9.2,63,11.1,11.4384,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
"The Ensign Group, Inc.",US,9.1,63,14.3,1.0888,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
"Amkor Technology, Inc.",US,8.9,63,10,1.4669,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
IRADIMED CORPORATION,US,8.7,63,0,0.218,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
goeasy Ltd.,Canada,8.2,63,16.7,0.1866,Consumer Discretionary,7.57,59.12,20,7.4,60,17,7.662806089,60.97683653,17
"Argan, Inc.",US,8.1,63,11.1,0.6866,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Labrador Iron Ore Royalty Corporation,Canada,7.9,63,28.6,0.753,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
Surteco SE,Germany,7.9,63,0,0.3467,Consumer Discretionary,7.57,59.12,20,7.4,60,17,6.03255814,57.39255814,24
Silvercorp Metals Inc.,Canada,7.8,63,0,0.5009,Materials,6.88,60.08,16,7.4,60,17,7.662806089,60.97683653,17
"Bemis Company, Inc.",US,7.5,63,18.2,5.027,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
Ansell Ltd.,Australia,7.5,63,25,2.136,Health Care,7.13,60.28,16,7.4,60,17,5.81913775,59.75394322,24
Credit Corp Group Ltd.,Australia,7.5,63,16.7,0.4532,Industrials,7.44,60.22,17,7.4,60,17,5.81913775,59.75394322,24
KapStone Paper and Packaging Corporation,US,7.2,63,0,1.4013,Materials,6.88,60.08,16,7.4,60,17,8.247254471,61.43591152,15
ARRIS International plc,US,7,63,22.2,4.703,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Federal Signal Corporation,US,6.9,63,33.3,0.8295,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Marsh & McLennan Companies, Inc.",US,6.8,63,18.2,34.6724,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"CorEnergy Infrastructure Trust, Inc.",US,6.3,63,16.7,0.3548,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Matador Resources Company,US,6,63,11.1,2.0569,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Inmarsat plc,UK,5.8,63,16.7,4.807,Telecommunication Services,6,57.92,19,7.4,60,17,5.650285094,57.00678794,20
"Aerojet Rocketdyne Holdings, Inc.",US,5.6,63,12.5,1.1902,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Unisys Corporation,US,5.6,63,33.3,0.3885,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Reliance Infrastructure Ltd.,India,5.4,63,14.3,2.1609,Utilities,6.4,59.97,21,7.4,60,17,8.233502538,61.66497462,12
"Veracyte, Inc.",US,5.4,63,33.3,0.1449,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Petrowest Corporation,Canada,5.3,63,0,0.0673,Energy,7,60.92,12,7.4,60,17,7.662806089,60.97683653,17
Amadeus Fire AG,Germany,5.2,63,45.5,0.3509,Industrials,7.44,60.22,17,7.4,60,17,6.03255814,57.39255814,24
Oversea-Chinese Banking Corporation Limited,Singapore,5,63,10,27.7558,Financials,7.92,60.71,18,7.4,60,17,7.856410256,62.14871795,11
The KEYW Holding Corporation,US,4.8,63,22.2,0.3976,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Larsen & Toubro Ltd,India,4.6,63,5.6,21.9945,Industrials,7.44,60.22,17,7.4,60,17,8.233502538,61.66497462,12
Clearwater Seafoods Incorporated,Canada,4.4,63,11.1,0.6962,Consumer Staples,7.41,59.11,21,7.4,60,17,7.662806089,60.97683653,17
Cabcharge Australia Limited,Australia,4.2,63,16.7,0.3288,Industrials,7.44,60.22,17,7.4,60,17,5.81913775,59.75394322,24
"Tetraphase Pharmaceuticals, Inc.",US,4,63,28.6,0.16,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Regulus Therapeutics Inc.,US,3.6,63,0,0.1789,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Mighty River Power Ltd.,New Zealand,3.5,63,25,2.9598,Utilities,6.4,59.97,21,7.4,60,17,5.64516129,59.12903226,19
BlackBerry Limited,Canada,3.3,63,25,3.4654,Information Technology,7.58,59.27,15,7.4,60,17,7.662806089,60.97683653,17
Amaya Inc.,Canada,3.3,63,0,2.2659,Consumer Discretionary,7.57,59.12,20,7.4,60,17,7.662806089,60.97683653,17
Yadkin Financial Corporation,US,3.3,63,6.7,1.3315,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Aerie Pharmaceuticals, Inc.",US,3.1,63,12.5,0.464,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Mallinckrodt plc,US,2.8,63,27.3,6.8274,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Vedanta Ltd.,India,2,63,12.5,7.2066,Materials,6.88,60.08,16,7.4,60,17,8.233502538,61.66497462,12
"Vectrus, Inc.",US,2,63,11.1,0.3335,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Sinclair Broadcast Group, Inc.",US,21.4,62.9,0,2.9005,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Paramount Resources Ltd.,Canada,18.2,62.9,11.1,1.0204,Energy,7,60.92,12,7.4,60,17,7.662806089,60.97683653,17
Regency Centers Corporation,US,15.3,62.9,11.1,8.5138,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Bombardier Inc.,Canada,13.5,62.9,26.7,3.6519,Industrials,7.44,60.22,17,7.4,60,17,7.662806089,60.97683653,17
Aflac Incorporated,US,12.7,62.9,15.4,30.3701,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Sonic Automotive, Inc.",US,12.6,62.9,0,0.8552,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Clifton Bancorp Inc.,US,12.3,62.9,14.3,0.3596,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
